شناسه,شعر,معنی
156,"به حسن و خلق و وفا کس به یار ما نرسد_x000D_
تو را در این سخن انکار کار ما نرسد_x000D_
اگر چه حسن فروشان به جلوه آمده اند_x000D_
کسی به حسن و ملاحت به یار ما نرسد_x000D_
به حق صحبت دیرین که هیچ محرم راز_x000D_
به یار یک جهت حق گزار ما نرسد_x000D_
هزار نقش برآید ز کلک صنع و یکی_x000D_
به دلپذیری نقش نگار ما نرسد_x000D_
هزار نقد به بازار کائنات آرند_x000D_
یکی به سکه صاحب عیار ما نرسد_x000D_
دریغ قافله عمر کان چنان رفتند_x000D_
که گردشان به هوای دیار ما نرسد_x000D_
دلا ز رنج حسودان مرنج و واثق باش_x000D_
که بد به خاطر امیدوار ما نرسد_x000D_
چنان بزی که اگر خاک ره شوی کس را_x000D_
غبار خاطری از ره گذار ما نرسد_x000D_
بسوخت حافظ و ترسم که شرح قصه او_x000D_
به سمع پادشه کامگار ما نرسد_x000D_
",در انتخابی که کرده اید شک نکنید . او از هر جهت لایق است. رازدار و با ایمان و با اصل و نسب است. نگذارید وقت بگذرد ممکن است حسودان کارها را خراب کنند و شما در رسیدن به مقصود عمری را در پی او بگردید. 
157,"هر که را با خط سبزت سر سودا باشد_x000D_
پای از این دایره بیرون ننهد تا باشد_x000D_
من چو از خاک لحد لاله صفت برخیزم_x000D_
داغ سودای توام سر سویدا باشد_x000D_
تو خود ای گوهر یک دانه کجایی آخر_x000D_
کز غمت دیده مردم همه دریا باشد_x000D_
از بن هر مژه ام آب روان است بیا_x000D_
اگرت میل لب جوی و تماشا باشد_x000D_
چون گل و می دمی از پرده برون آی و درآ_x000D_
که دگرباره ملاقات نه پیدا باشد_x000D_
ظل ممدود خم زلف توام بر سر باد_x000D_
کاندر این سایه قرار دل شیدا باشد_x000D_
چشمت از ناز به حافظ نکند میل آری_x000D_
سرگرانی صفت نرگس رعنا باشد_x000D_
",هر کس با خدا بود و از راه او بیرون نرفت، غمی به دل او راه پیدا نمی کند و هر لحظه ی عمر خود را وقف او می نماید. فرصت را غنیمت بدان راه برگشت نداری. آفرین بر تو که عقلت به تو دستور می دهد نه دلت. خواندن نماز و داشتن ایمان راه را برایت هموار می سازد. 
158,"من و انکار شراب این چه حکایت باشد_x000D_
غالبا این قدرم عقل و کفایت باشد_x000D_
تا به غایت ره میخانه نمی دانستم_x000D_
ور نه مستوری ما تا به چه غایت باشد_x000D_
زاهد و عجب و نماز و من و مستی و نیاز_x000D_
تا تو را خود ز میان با که عنایت باشد_x000D_
زاهد ار راه به رندی نبرد معذور است_x000D_
عشق کاریست که موقوف هدایت باشد_x000D_
من که شب ها ره تقوا زده ام با دف و چنگ_x000D_
این زمان سر به ره آرم چه حکایت باشد_x000D_
بنده پیر مغانم که ز جهلم برهاند_x000D_
پیر ما هر چه کند عین عنایت باشد_x000D_
دوش از این غصه نخفتم که رفیقی می گفت_x000D_
حافظ ار مست بود جای شکایت باشد_x000D_
",به عقل خودتان اعتماد ندارید و درایت تان را منکر می شوید. کارهای خودتان را که بسیار خوب هم هستند پنهان می کنید. لطف خدا همیشه با شماست. در هر کاری از هدایت بزرگان استفاده می کنید تا از نادانی رهایی یابید. غصه هایتان برطرف می شود به شرط آنکه دست از شکایت بردارید. 
159,"نقد صوفی نه همه صافی بی غش باشد_x000D_
ای بسا خرقه که مستوجب آتش باشد_x000D_
صوفی ما که ز ورد سحری مست شدی_x000D_
شامگاهش نگران باش که سرخوش باشد_x000D_
خوش بود گر محک تجربه آید به میان_x000D_
تا سیه روی شود هر که در او غش باشد_x000D_
خط ساقی گر از این گونه زند نقش بر آب_x000D_
ای بسا رخ که به خونابه منقش باشد_x000D_
ناز پرورد تنعم نبرد راه به دوست_x000D_
عاشقی شیوه رندان بلاکش باشد_x000D_
غم دنیی دنی چند خوری باده بخور_x000D_
حیف باشد دل دانا که مشوش باشد_x000D_
دلق و سجاده حافظ ببرد باده فروش_x000D_
گر شرابش ز کف ساقی مه وش باشد_x000D_
",تو مورد اعتماد دیگرانی. اگر در کار خود غل و غش داشته باشی هم خودت را از بین می بری هم دیگران را پس از تجربه ی خودت استفاده کن و دست دیگران را هم بگیر. حیف از توست که با حیله و ریا بخواهی زندگی کنی. ذات تو مثل یک سجاده پاک و بی ریاست. مراقب شیطان باش. 
160,"خوش است خلوت اگر یار یار من باشد_x000D_
نه من بسوزم و او شمع انجمن باشد_x000D_
من آن نگین سلیمان به هیچ نستانم_x000D_
که گاه گاه بر او دست اهرمن باشد_x000D_
روا مدار خدایا که در حریم وصال_x000D_
رقیب محرم و حرمان نصیب من باشد_x000D_
همای گو مفکن سایه شرف هرگز_x000D_
در آن دیار که طوطی کم از زغن باشد_x000D_
بیان شوق چه حاجت که سوز آتش دل_x000D_
توان شناخت ز سوزی که در سخن باشد_x000D_
هوای کوی تو از سر نمی رود آری_x000D_
غریب را دل سرگشته با وطن باشد_x000D_
به سان سوسن اگر ده زبان شود حافظ_x000D_
چو غنچه پیش تواش مهر بر دهن باشد_x000D_
",دعاهایتان برآورده خواهد شد و رقیبانتان موفق نمی شوند. فکر خودتان را به چیزهای دیگری هم معطوف کنید. روال عادی زندگی از دستتان خارج شده است. چیز با ارزشی در دست دارید که برایتان بسیار عزیز هم هست. نگذارید به دست نااهلان بیفتد. رازدار باشید. 
161,"کی شعر تر انگیزد خاطر که حزین باشد_x000D_
یک نکته از این معنی گفتیم و همین باشد_x000D_
از لعل تو گر یابم انگشتری زنهار_x000D_
صد ملک سلیمانم در زیر نگین باشد_x000D_
غمناک نباید بود از طعن حسود ای دل_x000D_
شاید که چو وابینی خیر تو در این باشد_x000D_
هر کو نکند فهمی زین کلک خیال انگیز_x000D_
نقشش به حرام ار خود صورتگر چین باشد_x000D_
جام می و خون دل هر یک به کسی دادند_x000D_
در دایره قسمت اوضاع چنین باشد_x000D_
در کار گلاب و گل حکم ازلی این بود_x000D_
کاین شاهد بازاری وان پرده نشین باشد_x000D_
آن نیست که حافظ را رندی بشد از خاطر_x000D_
کاین سابقه پیشین تا روز پسین باشد_x000D_
",تا زمانی که غمگین و ناراحت باشی، نی توانی تصمیم درست بگیری. با طعنه ی حسودان میدان را خالی نکن به روی خودت نیاور. از خداوند کمک بخواه. فعلا اوضاع همین است باید بسازی ولی دست بدخواهان رو می شود و تو دوباره نامت بر سر زبان ها افتد و روزگارت از گذشته بهتر می شود. 
162,"خوش آمد گل وز آن خوشتر نباشد_x000D_
که در دستت بجز ساغر نباشد_x000D_
زمان خوشدلی دریاب و در یاب_x000D_
که دایم در صدف گوهر نباشد_x000D_
غنیمت دان و می خور در گلستان_x000D_
که گل تا هفته دیگر نباشد_x000D_
ایا پرلعل کرده جام زرین_x000D_
ببخشا بر کسی کش زر نباشد_x000D_
بیا ای شیخ و از خمخانه ما_x000D_
شرابی خور که در کوثر نباشد_x000D_
بشوی اوراق اگر همدرس مایی_x000D_
که علم عشق در دفتر نباشد_x000D_
ز من بنیوش و دل در شاهدی بند_x000D_
که حسنش بسته زیور نباشد_x000D_
شرابی بی خمارم بخش یا رب_x000D_
که با وی هیچ درد سر نباشد_x000D_
من از جان بنده سلطان اویسم_x000D_
اگر چه یادش از چاکر نباشد_x000D_
به تاج عالم آرایش که خورشید_x000D_
چنین زیبنده افسر نباشد_x000D_
کسی گیرد خطا بر نظم حافظ_x000D_
که هیچش لطف در گوهر نباشد_x000D_
",قدر جوانیت را بدان و به خاطر مسائل کوچک غمگین نباش. وجودت مثل گلستانی است که چند روزی سبز و با طراوت است و بعد خزان زندگی آن را از بین می برد. اگر می خواهی عمری دراز داشته باشی به مستمندان کمک کن. ناجی تو کسی غیر از خدا نیست و اوست که زینت دهنده ی دلهاست. 
163,"گل بی رخ یار خوش نباشد_x000D_
بی باده بهار خوش نباشد_x000D_
طرف چمن و طواف بستان_x000D_
بی لاله عذار خوش نباشد_x000D_
رقصیدن سرو و حالت گل_x000D_
بی صوت هزار خوش نباشد_x000D_
با یار شکرلب گل اندام_x000D_
بی بوس و کنار خوش نباشد_x000D_
هر نقش که دست عقل بندد_x000D_
جز نقش نگار خوش نباشد_x000D_
جان نقد محقر است حافظ_x000D_
از بهر نثار خوش نباشد_x000D_
",ظاهر زیبا و جمال بی عیب بدون سیرت پاک ارزشی ندارد پس فقط به ظواهر تکیه نکن و رفتار و ادب و اخلاق را نیز مد نظر داشته باش. هیچ گلی بی خار نیست. تو هم سعی کن ایرادهای خود را برطرف نمایی. در انتخاب نیز، تشخیص درست با توست. زیاد دقت کن. 
164,"نفس باد صبا مشک فشان خواهد شد_x000D_
عالم پیر دگرباره جوان خواهد شد_x000D_
ارغوان جام عقیقی به سمن خواهد داد_x000D_
چشم نرگس به شقایق نگران خواهد شد_x000D_
این تطاول که کشید از غم هجران بلبل_x000D_
تا سراپرده گل نعره زنان خواهد شد_x000D_
گر ز مسجد به خرابات شدم خرده مگیر_x000D_
مجلس وعظ دراز است و زمان خواهد شد_x000D_
ای دل ار عشرت امروز به فردا فکنی_x000D_
مایه نقد بقا را که ضمان خواهد شد_x000D_
ماه شعبان منه از دست قدح کاین خورشید_x000D_
از نظر تا شب عید رمضان خواهد شد_x000D_
گل عزیز است غنیمت شمریدش صحبت_x000D_
که به باغ آمد از این راه و از آن خواهد شد_x000D_
مطربا مجلس انس است غزل خوان و سرود_x000D_
چند گویی که چنین رفت و چنان خواهد شد_x000D_
حافظ از بهر تو آمد سوی اقلیم وجود_x000D_
قدمی نه به وداعش که روان خواهد شد_x000D_
",تغییر و تحولات بسیار زیادی در زندگیت رخ می دهد. دوباره دلت جوان می شود. قدر سلامتی خود و اطرافیانت را بدان. ماه شعبان و رمضان فرصت بسیار خوبی است برای دعا و رسیدن به حاجات. بسیار خوش هستی چون همه چیز برایت آفریده شده است. 
165,"مرا مهر سیه چشمان ز سر بیرون نخواهد شد_x000D_
قضای آسمان است این و دیگرگون نخواهد شد_x000D_
رقیب آزارها فرمود و جای آشتی نگذاشت_x000D_
مگر آه سحرخیزان سوی گردون نخواهد شد_x000D_
مرا روز ازل کاری بجز رندی نفرمودند_x000D_
هر آن قسمت که آن جا رفت از آن افزون نخواهد شد_x000D_
خدا را محتسب ما را به فریاد دف و نی بخش_x000D_
که ساز شرع از این افسانه بی قانون نخواهد شد_x000D_
مجال من همین باشد که پنهان عشق او ورزم_x000D_
کنار و بوس و آغوشش چه گویم چون نخواهد شد_x000D_
شراب لعل و جای امن و یار مهربان ساقی_x000D_
دلا کی به شود کارت اگر اکنون نخواهد شد_x000D_
مشوی ای دیده نقش غم ز لوح سینه حافظ_x000D_
که زخم تیغ دلدار است و رنگ خون نخواهد شد_x000D_
",به امید قسمت خود باش. از رقیب خود دوری کن کار را از روی عقل و منطق انجام بده. عجله نکن همه چیز به موقع درست خواهد شد. با گریه و زاری کردن چیزی درست نمی شود. دست به دعا بردار. نماز صبح را فراموش نکن که هر چه حاجت بگیری از نماز صبح است. 
166,"روز هجران و شب فرقت یار آخر شد_x000D_
زدم این فال و گذشت اختر و کار آخر شد_x000D_
آن همه ناز و تنعم که خزان می فرمود_x000D_
عاقبت در قدم باد بهار آخر شد_x000D_
شکر ایزد که به اقبال کله گوشه گل_x000D_
نخوت باد دی و شوکت خار آخر شد_x000D_
صبح امید که بد معتکف پرده غیب_x000D_
گو برون آی که کار شب تار آخر شد_x000D_
آن پریشانی شب های دراز و غم دل_x000D_
همه در سایه گیسوی نگار آخر شد_x000D_
باورم نیست ز بدعهدی ایام هنوز_x000D_
قصه غصه که در دولت یار آخر شد_x000D_
ساقیا لطف نمودی قدحت پرمی باد_x000D_
که به تدبیر تو تشویش خمار آخر شد_x000D_
در شمار ار چه نیاورد کسی حافظ را_x000D_
شکر کان محنت بی حد و شمار آخر شد_x000D_
",ستاره ی بخت و اقبال شما می درخشد و فالتان بسیار فرخنده است. نعمت و مال به سویتان می آید. به ذکر و ثنای خداوند بپردازید. اتفاقات عجیبی رخ می دهند که همگی بسیار خوب هستند و دولت به همراه می آورند و این به خاطر تدبیر و عقل خودت می باشد. در همه حال با خدا باش.  
167,"ستاره ای بدرخشید و ماه مجلس شد_x000D_
دل رمیده ما را رفیق و مونس شد_x000D_
نگار من که به مکتب نرفت و خط ننوشت_x000D_
به غمزه مساله آموز صد مدرس شد_x000D_
به بوی او دل بیمار عاشقان چو صبا_x000D_
فدای عارض نسرین و چشم نرگس شد_x000D_
به صدر مصطبه ام می نشاند اکنون دوست_x000D_
گدای شهر نگه کن که میر مجلس شد_x000D_
خیال آب خضر بست و جام اسکندر_x000D_
به جرعه نوشی سلطان ابوالفوارس شد_x000D_
طربسرای محبت کنون شود معمور_x000D_
که طاق ابروی یار منش مهندس شد_x000D_
لب از ترشح می پاک کن برای خدا_x000D_
که خاطرم به هزاران گنه موسوس شد_x000D_
کرشمه تو شرابی به عاشقان پیمود_x000D_
که علم بی خبر افتاد و عقل بی حس شد_x000D_
چو زر عزیز وجود است نظم من آری_x000D_
قبول دولتیان کیمیای این مس شد_x000D_
ز راه میکده یاران عنان بگردانید_x000D_
چرا که حافظ از این راه رفت و مفلس شد_x000D_
",اگر تا به امروز دوست و همراهی نداشته ای به خاطر این است که خودت نمی خواستی تا امروز دنیا بر وفق مرادت نبوده وای این دوران رو به اتمام است و بخت و اقبال خوشی در راه است. منفی باف نباش، اختیارت را دست کسی نده. 
168,"گداخت جان که شود کار دل تمام و نشد_x000D_
بسوختیم در این آرزوی خام و نشد_x000D_
به لابه گفت شبی میر مجلس تو شوم_x000D_
شدم به رغبت خویشش کمین غلام و نشد_x000D_
پیام داد که خواهم نشست با رندان_x000D_
بشد به رندی و دردی کشیم نام و نشد_x000D_
رواست در بر اگر می طپد کبوتر دل_x000D_
که دید در ره خود تاب و پیچ دام و نشد_x000D_
بدان هوس که به مستی ببوسم آن لب لعل_x000D_
چه خون که در دلم افتاد همچو جام و نشد_x000D_
به کوی عشق منه بی دلیل راه قدم_x000D_
که من به خویش نمودم صد اهتمام و نشد_x000D_
فغان که در طلب گنج نامه مقصود_x000D_
شدم خراب جهانی ز غم تمام و نشد_x000D_
دریغ و درد که در جست و جوی گنج حضور_x000D_
بسی شدم به گدایی بر کرام و نشد_x000D_
هزار حیله برانگیخت حافظ از سر فکر_x000D_
در آن هوس که شود آن نگار رام و نشد_x000D_
",راهی که انتخاب نموده اید راه درستی نیست و بر مبنای هوی و هوس این راه را می روید برگردید چون غیر از ضرر چیز دیگری ندارد. سودی نمی کنید و کسی هم به شما کمک نمی کند. به پیغامی که برایتان می فرستند اهمیت ندهید چون می خواهند شما را به دام بیاندازند. 
169,"یاری اندر کس نمی بینیم یاران را چه شد_x000D_
دوستی کی آخر آمد دوستداران را چه شد_x000D_
آب حیوان تیره گون شد خضر فرخ پی کجاست_x000D_
خون چکید از شاخ گل باد بهاران را چه شد_x000D_
کس نمی گوید که یاری داشت حق دوستی_x000D_
حق شناسان را چه حال افتاد یاران را چه شد_x000D_
لعلی از کان مروت برنیامد سال هاست_x000D_
تابش خورشید و سعی باد و باران را چه شد_x000D_
شهر یاران بود و خاک مهربانان این دیار_x000D_
مهربانی کی سر آمد شهریاران را چه شد_x000D_
گوی توفیق و کرامت در میان افکنده اند_x000D_
کس به میدان در نمی آید سواران را چه شد_x000D_
صد هزاران گل شکفت و بانگ مرغی برنخاست_x000D_
عندلیبان را چه پیش آمد هزاران را چه شد_x000D_
زهره سازی خوش نمی سازد مگر عودش بسوخت_x000D_
کس ندارد ذوق مستی میگساران را چه شد_x000D_
حافظ اسرار الهی کس نمی داند خموش_x000D_
از که می پرسی که دور روزگاران را چه شد_x000D_
",از وضعی که دارید خسته شده اید و کسی یاری تان نمی کند. همگی شما را فراموش کرده اند به هر کسی که خوبی کردید بدی دیده اید. در انتظار رحمت الهی بی قراری می کنید. شانس به شما رو می کند ولی آن را پس می زنید. در هر حال هر چه تقدیر الهی باشد همان است. 
170,"زاهد خلوت نشین دوش به میخانه شد_x000D_
از سر پیمان برفت با سر پیمانه شد_x000D_
صوفی مجلس که دی جام و قدح می شکست_x000D_
باز به یک جرعه می عاقل و فرزانه شد_x000D_
شاهد عهد شباب آمده بودش به خواب_x000D_
باز به پیرانه سر عاشق و دیوانه شد_x000D_
مغبچه ای می گذشت راه زن دین و دل_x000D_
در پی آن آشنا از همه بیگانه شد_x000D_
آتش رخسار گل خرمن بلبل بسوخت_x000D_
چهره خندان شمع آفت پروانه شد_x000D_
گریه شام و سحر شکر که ضایع نگشت_x000D_
قطره باران ما گوهر یک دانه شد_x000D_
نرگس ساقی بخواند آیت افسونگری_x000D_
حلقه اوراد ما مجلس افسانه شد_x000D_
منزل حافظ کنون بارگه پادشاست_x000D_
دل بر دلدار رفت جان بر جانانه شد_x000D_
",دعاهای تو بر سر نماز صبح و شب بی ثمر نماند خداوند دری به رویت باز کرد و آن رسیدن به عقل و فرزانگی است. دوست را از دشمن به راحتی می توانید تشخیص دهید و می فهمید که از کجا به شما آفت می رسد از آنجا دوری می کنید و در نهایت تصمیم های عاقلانه می گیرید. 
171,"دوش از جناب آصف پیک بشارت آمد_x000D_
کز حضرت سلیمان عشرت اشارت آمد_x000D_
خاک وجود ما را از آب دیده گل کن_x000D_
ویرانسرای دل را گاه عمارت آمد_x000D_
این شرح بی نهایت کز زلف یار گفتند_x000D_
حرفیست از هزاران کاندر عبارت آمد_x000D_
عیبم بپوش زنهار ای خرقه می آلود_x000D_
کان پاک پاکدامن بهر زیارت آمد_x000D_
امروز جای هر کس پیدا شود ز خوبان_x000D_
کان ماه مجلس افروز اندر صدارت آمد_x000D_
بر تخت جم که تاجش معراج آسمان است_x000D_
همت نگر که موری با آن حقارت آمد_x000D_
از چشم شوخش ای دل ایمان خود نگه دار_x000D_
کان جادوی کمانکش بر عزم غارت آمد_x000D_
آلوده ای تو حافظ فیضی ز شاه درخواه_x000D_
کان عنصر سماحت بهر طهارت آمد_x000D_
دریاست مجلس او دریاب وقت و در یاب_x000D_
هان ای زیان رسیده وقت تجارت آمد_x000D_
",خود را کوچک نشمار. تو فرد بسیار بزرگ و کاردانی در جامعه خواهی شد. در همه حال رو به سوی خدا بیاور که در عین ناامیدی فقط اوست که به تو امید می بخشد. بشارتی به تو می دهند که دل ویران تو را تبدیل به عمارت می کند وقت مناسبی پیش آمده تا از یک معامله سود کلانی ببری. 
172,"عشق تو نهال حیرت آمد_x000D_
وصل تو کمال حیرت آمد_x000D_
بس غرقه حال وصل کآخر_x000D_
هم بر سر حال حیرت آمد_x000D_
یک دل بنما که در ره او_x000D_
بر چهره نه خال حیرت آمد_x000D_
نه وصل بماند و نه واصل_x000D_
آن جا که خیال حیرت آمد_x000D_
از هر طرفی که گوش کردم_x000D_
آواز سوال حیرت آمد_x000D_
شد منهزم از کمال عزت_x000D_
آن را که جلال حیرت آمد_x000D_
سر تا قدم وجود حافظ_x000D_
در عشق نهال حیرت آمد_x000D_
",با رسیدن به وصال یار کمالات تو بیشتر خواهد شد. از هر طرف درهای رحمت به سویت باز می شود. با کمک یار جهانی را زیر و رو می کنی که همگان در حیرت می مانند. توسل به خدا کن و همت داشته باش. 
173,"در نمازم خم ابروی تو با یاد آمد_x000D_
حالتی رفت که محراب به فریاد آمد_x000D_
از من اکنون طمع صبر و دل و هوش مدار_x000D_
کان تحمل که تو دیدی همه بر باد آمد_x000D_
باده صافی شد و مرغان چمن مست شدند_x000D_
موسم عاشقی و کار به بنیاد آمد_x000D_
بوی بهبود ز اوضاع جهان می شنوم_x000D_
شادی آورد گل و باد صبا شاد آمد_x000D_
ای عروس هنر از بخت شکایت منما_x000D_
حجله حسن بیارای که داماد آمد_x000D_
دلفریبان نباتی همه زیور بستند_x000D_
دلبر ماست که با حسن خداداد آمد_x000D_
زیر بارند درختان که تعلق دارند_x000D_
ای خوشا سرو که از بار غم آزاد آمد_x000D_
مطرب از گفته حافظ غزلی نغز بخوان_x000D_
تا بگویم که ز عهد طربم یاد آمد_x000D_
",هر چه دارید از ایمان و دل پاک شماست. نتیجه ی صبوری و درایت خودتان را به زودی خواهید دید. زمینه را برای رسیدن به مقصود خودتان فراهم آورید. وضعی پیش می آید که شما از نظر مادی و معنوی تغییر می کنید و بار معنویاتتان بیشتر می شود. 
174,"مژده ای دل که دگر باد صبا بازآمد_x000D_
هدهد خوش خبر از طرف سبا بازآمد_x000D_
برکش ای مرغ سحر نغمه داوودی باز_x000D_
که سلیمان گل از باد هوا بازآمد_x000D_
عارفی کو که کند فهم زبان سوسن_x000D_
تا بپرسد که چرا رفت و چرا بازآمد_x000D_
مردمی کرد و کرم لطف خداداد به من_x000D_
کان بت ماه رخ از راه وفا بازآمد_x000D_
لاله بوی می نوشین بشنید از دم صبح_x000D_
داغ دل بود به امید دوا بازآمد_x000D_
چشم من در ره این قافله راه بماند_x000D_
تا به گوش دلم آواز درا بازآمد_x000D_
گر چه حافظ در رنجش زد و پیمان بشکست_x000D_
لطف او بین که به لطف از در ما بازآمد_x000D_
",خبر خوشی را به زودی به شما می دهند که علاوه بر شما دیگران نیز خوشحال می شوند. این خبر خوش معمایی است برای شما که چطور شد همه چیز بر وفق مراد پیش آمد. البته که لطف خداوند بوده است. 
175,"صبا به تهنیت پیر می فروش آمد_x000D_
که موسم طرب و عیش و ناز و نوش آمد_x000D_
هوا مسیح نفس گشت و باد نافه گشای_x000D_
درخت سبز شد و مرغ در خروش آمد_x000D_
تنور لاله چنان برفروخت باد بهار_x000D_
که غنچه غرق عرق گشت و گل به جوش آمد_x000D_
به گوش هوش نیوش از من و به عشرت کوش_x000D_
که این سخن سحر از هاتفم به گوش آمد_x000D_
ز فکر تفرقه بازآی تا شوی مجموع_x000D_
به حکم آن که چو شد اهرمن سروش آمد_x000D_
ز مرغ صبح ندانم که سوسن آزاد_x000D_
چه گوش کرد که با ده زبان خموش آمد_x000D_
چه جای صحبت نامحرم است مجلس انس_x000D_
سر پیاله بپوشان که خرقه پوش آمد_x000D_
ز خانقاه به میخانه می رود حافظ_x000D_
مگر ز مستی زهد ریا به هوش آمد_x000D_
",فردی به کمک تان می شتابد و شما را از ورطه ی درد و فلاکت نجات می بخشد. لباس عافیت بر تنتان می کند. کمی عصبانی هستید سعی کنید بر خودتان مسلط باشید. بین کسی جدایی نیاندازید تا بلایا از شما دور شود. 
176,"سحرم دولت بیدار به بالین آمد_x000D_
گفت برخیز که آن خسرو شیرین آمد_x000D_
قدحی درکش و سرخوش به تماشا بخرام_x000D_
تا ببینی که نگارت به چه آیین آمد_x000D_
مژدگانی بده ای خلوتی نافه گشای_x000D_
که ز صحرای ختن آهوی مشکین آمد_x000D_
گریه آبی به رخ سوختگان بازآورد_x000D_
ناله فریادرس عاشق مسکین آمد_x000D_
مرغ دل باز هوادار کمان ابرویست_x000D_
ای کبوتر نگران باش که شاهین آمد_x000D_
ساقیا می بده و غم مخور از دشمن و دوست_x000D_
که به کام دل ما آن بشد و این آمد_x000D_
رسم بدعهدی ایام چو دید ابر بهار_x000D_
گریه اش بر سمن و سنبل و نسرین آمد_x000D_
چون صبا گفته حافظ بشنید از بلبل_x000D_
عنبرافشان به تماشای ریاحین آمد_x000D_
",بلند شو ببین که چگونه دشمنانت شکست خورده اند و غم هایت به پایان رسیده. مالی به تو می رسد که باعث می شود مشکلاتت حل شود. گرمای خوشبختی را حس می کنی و ابرهای تیره از آسمان دلت کنار می روند و تو پیروز و موفق می شوی. 
177,"نه هر که چهره برافروخت دلبری داند_x000D_
نه هر که آینه سازد سکندری داند_x000D_
نه هر که طرف کله کج نهاد و تند نشست_x000D_
کلاه داری و آیین سروری داند_x000D_
تو بندگی چو گدایان به شرط مزد مکن_x000D_
که دوست خود روش بنده پروری داند_x000D_
غلام همت آن رند عافیت سوزم_x000D_
که در گداصفتی کیمیاگری داند_x000D_
وفا و عهد نکو باشد ار بیاموزی_x000D_
وگرنه هر که تو بینی ستمگری داند_x000D_
بباختم دل دیوانه و ندانستم_x000D_
که آدمی بچه ای شیوه پری داند_x000D_
هزار نکته باریکتر ز مو این جاست_x000D_
نه هر که سر بتراشد قلندری داند_x000D_
مدار نقطه بینش ز خال توست مرا_x000D_
که قدر گوهر یک دانه جوهری داند_x000D_
به قد و چهره هر آن کس که شاه خوبان شد_x000D_
جهان بگیرد اگر دادگستری داند_x000D_
ز شعر دلکش حافظ کسی بود آگاه_x000D_
که لطف طبع و سخن گفتن دری داند_x000D_
",ظاهربین نباش و تصمیم را بر مبنای ظواهر نگیر. حواست را جمع کن می خواهند تو را فریب بدهند. آنها از تو خیلی زرنگ تر هستند. کسی را در کنارت داری که راهنمایی ات می کند. قدرش را بدان. اگر به حرفش گوش دهی تمام جهان در دست توست. 
178,"هر که شد محرم دل در حرم یار بماند_x000D_
وان که این کار ندانست در انکار بماند_x000D_
اگر از پرده برون شد دل من عیب مکن_x000D_
شکر ایزد که نه در پرده پندار بماند_x000D_
صوفیان واستدند از گرو می همه رخت_x000D_
دلق ما بود که در خانه خمار بماند_x000D_
محتسب شیخ شد و فسق خود از یاد ببرد_x000D_
قصه ماست که در هر سر بازار بماند_x000D_
هر می لعل کز آن دست بلورین ستدیم_x000D_
آب حسرت شد و در چشم گهربار بماند_x000D_
جز دل من کز ازل تا به ابد عاشق رفت_x000D_
جاودان کس نشنیدیم که در کار بماند_x000D_
گشت بیمار که چون چشم تو گردد نرگس_x000D_
شیوه تو نشدش حاصل و بیمار بماند_x000D_
از صدای سخن عشق ندیدم خوشتر_x000D_
یادگاری که در این گنبد دوار بماند_x000D_
داشتم دلقی و صد عیب مرا می پوشید_x000D_
خرقه رهن می و مطرب شد و زنار بماند_x000D_
بر جمال تو چنان صورت چین حیران شد_x000D_
که حدیثش همه جا در در و دیوار بماند_x000D_
به تماشاگه زلفش دل حافظ روزی_x000D_
شد که بازآید و جاوید گرفتار بماند_x000D_
",به عهد و پیمانی که بسته ای پایبند باش. حریم خود را حفظ کن وگرنه خیلی زود آبرویت می رود. عشق را در دل خود جاودانه کن تا هیچ وقت دلت تیره نگردد. محبت و عشق تو همه را حیران می کند و نامت را بر سر زبان ها می اندازد. 
179,"رسید مژده که ایام غم نخواهد ماند_x000D_
چنان نماند چنین نیز هم نخواهد ماند_x000D_
من ار چه در نظر یار خاکسار شدم_x000D_
رقیب نیز چنین محترم نخواهد ماند_x000D_
چو پرده دار به شمشیر می زند همه را_x000D_
کسی مقیم حریم حرم نخواهد ماند_x000D_
چه جای شکر و شکایت ز نقش نیک و بد است_x000D_
چو بر صحیفه هستی رقم نخواهد ماند_x000D_
سرود مجلس جمشید گفته اند این بود_x000D_
که جام باده بیاور که جم نخواهد ماند_x000D_
غنیمتی شمر ای شمع وصل پروانه_x000D_
که این معامله تا صبحدم نخواهد ماند_x000D_
توانگرا دل درویش خود به دست آور_x000D_
که مخزن زر و گنج درم نخواهد ماند_x000D_
بدین رواق زبرجد نوشته اند به زر_x000D_
که جز نکویی اهل کرم نخواهد ماند_x000D_
ز مهربانی جانان طمع مبر حافظ_x000D_
که نقش جور و نشان ستم نخواهد ماند_x000D_
",بسیار ناامید هستی و فکر می کنی تمام غم های عالم در دل توست ولی امیدت را از دست نده زیرا سرانجام همه بدبختی ها تو تمام می شود. غم و ناراحتی جای خود را به شادی و آشتی می دهند. به مستمندان کمک کن تا باز هم در زمان گرفتاری خداوند نیز مشکل تو را حل کند. 
